Folio,Fecha,Ubicacion,Colonia,Hora,Tipo,COORDENADAS,Comentarios
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665024"" target=""_blank"">44665024</a>",19/04/2021,; 20 OTE Y BLVD 5 DE MAYO,BARRIO SAN ANTONIO/PUEBLA/PUEBLA,06:32:59,VEHICULO SOSPECHOSO,"19.049704209884023, -98.18956451288464","REFIERE QUE HAY 3 MASCULINOS, A BORDO DE UN VEHICULO PLATA, DESCONOCE PLACAS, COLOR NARANJA, DICHOS MASCULINO ESTAN PATEANDO EL SAWAN DE LA, PRIMARIA, OMEGA 4 UNIDAD  VP-412  NAVA SANCHEZ JOEL  ,, CAMACHO GOMEZ JOAQUIN, DE LA ROSA SALAZAR MARCÓ, EDÉN, OMEGA 4 UNIDAD  VP-412  NAVA SANCHEZ JOEL  ,, CAMACHO GOMEZ JOAQUIN, DE LA ROSA SALAZAR, MAR**********************LA UNIDAD EN EL LUGAR, INIDCA NO SE UBICA EL VEHICULO CON LAS, CARACTERISTICAS MENCIONADAS SELE MARCA A PET NO, CONTESTA LA UNIDAD HACE PRESENCIA EN LA ZONA Y SE, ENCUENTRA SI AL TERACION LA UNIDAD CONTINUA SU, RECORRIDO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665031"" target=""_blank"">44665031</a>",19/04/2021,;PLAZA DE LA CAMPANA DUPLEX B 8 DPTO 3 ESQ 61 OTE,UNIDAD INFONAVIT LAS MARGARITA/PUEBLA/PUEBLA,06:34:20,VIOLENCIA CONTRA LA MUJER,"19.00538625090326, -98.18774565965066","PIDEW URGENTE DE UNIDAD YA QUE ESTAN GOLPEANDO A, SU VECINA, ESTA GRITANDO POR AYUDA, NO APORTA MAS DATOS, EL CEL OK, CELL 5 DE MAYO (CALLE DE LA CALERA)/PRV LA CALERA, 112022, 2DA LLAMADA  2225354748 INDICA CANCELA EL, SERVICIO YA QUE SALE SU VECINA INDICANDO QUE EL, AGRESOR SE RETIRO QUE YA NO PIDA UNIDAD DE, POLICIA, /////, ENTERADO TELMUJER, SE CIERRA FOLIO CON INFORMACIÓN ANTERIOR YA QUE, PETICIONARIA CANCELÓ EL APOYO DE POLICÍA, ////, LA UNIDADES DE PMPUE CONTINUARON SU RECORRIDO."
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665039"" target=""_blank"">44665039</a>",19/04/2021,;AV IDEPENDENCIA NUM 173 ESQ CLAVIJERO Y FED A TEH,CHAPULTEPEC/PUEBLA/PUEBLA,06:35:03,OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS,"19.041879147636998, -98.14691195965028","PROT ELEC, SOORA, 3 MIN, TEL CEL OK, AL LUGAR ABORDO DE LA UNIDAD VP 321 RAMIREZ QUERO, INOCENCIO//VERA CARRILLO BLANCA YESENIA., YA EN EL LUGAR LA UNIDAD ABORDO DE LA UNIDAD VP, 318 MARCELO GÓMEZ OMAR//VALERDI FLORES MIGUEL, ÁNGEL  MENCIONA EL PUNTO DELA NEGOCIACION SE, ENCUENTRA SIN NOVEDAD APARENTEMENTE BIEN CERRADO, MANDA EVIDENCIA GRAFICA."
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665056"" target=""_blank"">44665056</a>",19/04/2021,; BLVRD 14 SUR 3511 // 35 OTE,FRACC ANZURES/PUEBLA/PUEBLA,06:44:57,SOLICITUD DE OTROS SERVICIOS PUBLICOS,"19.02596825548271, -98.19773213081405","DE LA COMANDANCIA DE CUETZALAN. PARA REPORTAR LA, SALIDA DE LA UNIDAD NÚMERO ECONÓMICO 110 CON, PLACAS SM-76-375 MARCA NISSAN FRONTIER, AL MANDO, DE DIEGO ARMANDO MORA JIMÉNEZ UNIFORMADO SIN ARMA, CON UNO MÁS DE CIVIL. SE DIRIGEN A LA AGENCIA, NISSAN EN PUEBLA BLVRD 14 SUR 3511, ANZURES, SE INFORMA A 911 PUEBLA, SE INFORMA A UNIDADES DE LA SSC PUEBLA"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665060"" target=""_blank"">44665060</a>",19/04/2021,; LIBERTAD 6124,SAN BALTASAR CAMPECHE/PUEBLA/PUEBLA,06:47:27,OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS,"19.013539653741578, -98.20466964243715","SOLICITAN UNIDAD POR ACTIVACION DE ALARMA EN, EQUIPO AVRS0999, COMENTA PETICIONARIO SE BRINCARON A UNA CASA Y EL, DUEÑO NO SE ENCUENTRA EN SU DOMICILIO, JA 006 A BORDO POL.MAGAÑA VILLALBA YAHARA MARIA, //JUAREZ MENES MIGUEL ANGEL, JA 006 A BORDO POL.MAGAÑA VILLALBA YAHARA MARIA, //JUAREZ MENES MIGUEL ANGEL  INDICA LA UNIDAD, CHECA CHAPAS , CANDADOS Y CORTINAS SIN ALTERACION, SE PIDEN GRAFICAS, PEP CON NOTAS DE POLICIA MUNICIPAL SE CIERRA, FOLIO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665067"" target=""_blank"">44665067</a>",19/04/2021,; 83 PTE ESQUINA 13 B SUR,SAN JOSE MAYORAZGO/PUEBLA/PUEBLA,06:49:41,PERSONA SOSPECHOSA,"19.0057385983939, -98.23445338663232","REFIERE QUE UN MASCULINO AL PARECER SE BRINCO, AL PARECER ES CASA EN CONSTRUCCION, MASCULINO VISTE DE NEGRO, DELGADO, TEL CEL //OK, SSC 701 ABORDO OMEGA 7 CMTE. KARINA MENDOZA, ROSALES// POL ELISEO HUERTA HERNANDEZ, LA UNIDAD SE ENCUENTRA EN EL LUGAR SE VERIFICAN, HACEN EXTENSO RECORRIDO NO UBICAN AL MASCULINO, DESCRITO EL PUNTO SE ENCUENTRA SIN ALTERACIÓN, APARENTE SE MANDAN GRAFICAS LA UNIDAD CONTINUA, CON SU RECORRIDO CON APOYO DE LA VP-704"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665123"" target=""_blank"">44665123</a>",19/04/2021,; FRANCIA Y PRIVADA RUBI,MINERALES DE GUADALUPE SUR/PUEBLA/PUEBLA,07:08:11,ROBO A TRANSEUNTE CON VIOLENCIA,"18.957849113178813, -98.24128480462537","REFIERE QUE ASALTARON A UNA FEMENINA, MASCULINO CON SUDADERA NEGRA Y PANTALON DE, MEZCLILLA, MASCULINO CAMINANDO, CON SENTIDO A LAS CANCHAS, ---LE QUITAN MOCHILA AZUL,CELULAR Y DEMAS, PETICIONARIO SOLO APOYA A LA FEMENINA, PE-1027, MPRR***07:17 HORAS POR PARTE DE CABINA TORRE, SE, LE REGRESO LLAMADA A OLIVIA LIZBETH SÁNCHEZ CRUZ, INDICA QUE FUE UN MASCULINO CON ARMA BLANCA, LE, ROBA CON OBJETOS PERSONALES Y 80 PESOS,, PROPORCIONA EL NÚMERO 2226299520., INDICA CABINA ZONA 8 : REPORTA AL LUGAR UNIDAD, VP- 804 BORDO POL.RAMIREZ CEVADA ENRIQUE  Y POL., ESCORZA LEON MARIA FERNANDA, PE-1027 INFORMA QUE NEGATIVO DE UBICAR A, PETICIONARIO, YA EN EL LUGAR LA VP-801 NO UBICA A PETICIONARIO, Y O VICTIMA DE ROBO, LA UNIDAD CONTINUA SU RECORRIDO., CON ESTA HORA INDICA PETICIONARIA QUE YA SE, ENCUENTRA CON LOS ELEMENTOS DE LA VP-804, INFORMAN EN EEL LUGAR SE ENTREVISTAN CON LA SRTA., OLIVIA LIZET SANCHEZ CRUZ TEL.2226299520 REFIERE, CAMINABA EN DIRECCION DE SU TRABAJO SOBRE LA, CALLE FRANCIO A LA ALTURA DE LA CALLE RUBI LA, ABORDA UN MASCULINO CON SUDADERA DE COLOR NEGRO, PANTALON DE MESCLILLA  AZUL ALTO DELGADO DE, APROXIMADAMENTE 30 AÑOS MEDIANTE AMENAZAS LA, DEESPOJA DE SU BOLSO EN EL CUAL SOLO LLEVAVA, COSMETICOS Y SU DESAYUNO SE LE DAN PASOS LEEGALES, AA SEEGUIR AGRADECE EL APOYO SUBEN EVIDENCIA A, COORDINACION..., CONTINUA SU RECORRIDO, VP- 804 BORDO POL.RAMIREZ CEVADA ENRIQUE  Y POL., ESCORZA LEON MARIA FERNANDA"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665130"" target=""_blank"">44665130</a>",19/04/2021,;PIRV SINALOA 213 ENTRE 2 SUR Y 4 SUR,EL CARMEN/PUEBLA/PUEBLA,07:16:59,OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS,"19.032909144884343, -98.20256680197758","TLACOQUEMECATL,BENITO JUAREZ,MEXICO D.F.,CIUDAD DE MEXICO,MX, ADT, ACTIVACION DE ALARMA SONORA NEGOCIO LOMA DEL, NORTE ENCARGADO ALFREDO RODRIGUEZ 2228170016, UNIDAD SSC-513  ABORDO LOS ELEMENTOS POL-.//, LÓPEZ FLORES ENRIQUE// GÓMEZ SAUCEDO ENRIQUE, UNIDAD EN EL LUGAR INFORMA CANDADOS Y CHAPAS BIEN, CERRADOS, EL LUGAR SE ENCUENTRA SIN NOVEDAD SE, TOMA GRAFICA CONTINUA SU RECORRIDO, PEP CON NOTAS DE POLICIA MUNICIPAL SE CIERRA, FOLIO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665132"" target=""_blank"">44665132</a>",19/04/2021,;AV 14 ORIENTE 1204,BARRIO DE ALTO/PUEBLA/PUEBLA,07:17:26,SOLICITUD DE OTROS SERVICIOS PUBLICOS,"19.045736442214114, -98.1879529019774","INFORMA OFICIAL DE POLICIA MUNICIPAL DE, TEHUITZINGO QUE  INGRESA LA UNIDAD PE-643  AL, MANDO DE OFICIAL  GERARDO HERRERA SANCHEZ PORTA, UNA ARMA CORTA  TRASLADA A EL SECRETARIO GENERAL, JUAN CARLOS LUCERO AGUILAR ACUDEN A LA, SECRETARIA DE GOBIERNO A ACREDITARSE COMO, SECRETARIO DEL AYUNTAMIENTO., TEL RES, OK, SE INFORMA A EXT 16000, RECIBE OP C1295, SE INFORMA A UNIDADES DE LA SSC PUEBLA, ENTERADO POLICIA DEL ESTADO, PEP SE TIENE CONICIMIENTO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665158"" target=""_blank"">44665158</a>",19/04/2021,; CALLE 1RA DE MAYO NUM 29 ESQ FCO VILLA Y MIGUEL NEGRETE,GRAL IGNACIO ZARAGOZA/PUEBLA/PUEBLA,07:29:06,PERSONA AGRESIVA,"19.028949721553438, -98.17754324974577","REF DE LA PAREJA DE SU HERMANO, ESTA INSISTENTEMENTE TOCANDO SU PUERTA, REFQ EU DESDE ANOCHE HA ESTADO MOLESTANDO, TEL CLE OK, VP-611 A BORDO POL.MARISOL CABRERA AGUILAR //, MEJIA GARCIA YAHIR, VP-611 A BORDO POL.MARISOL CABRERA AGUILAR //, MEJIA GARCIA YAHIR**     LA UNIDAD LLEGA AL PUNTO, SE ENTREVISTA CON PETICIONARIA DE NOMBRE PETRA, CANO PEREZ INDICA QUE SU CUÑADA VINO DESDE LA, 01:00 HRS A PREGUNTAR POR SU HERMANO POR LO QUE, EN EL TRANSCURSO DE LA MAÑANA ESTUVO MOLESTANDO, SU PUERTA POR LO QUE LA PETICIONARIA MARCA AL 911, ESCUCHA Y SE RETIRA DEL LUGAR YA NO SE ENCUENTRA, SU CUÑADA AL LLEGAR LA UNIDAD SE LE DAN, PROCEDIMIENTOS SE MANDA EVIDENCIAS GRAFICAS, QUEDANDO SIN NOVEDAD LA UNIDAD CONTINUA SU, RECORRIDO, CON DATOS DE POLICIA MUNICIPAL SE CIERRA FOLIO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665172"" target=""_blank"">44665172</a>",19/04/2021,;CALLE 33 PTE NUM 905ENTRE CALLE 9 Y 11SUR,INSURGENTES CHULAVISTA/PUEBLA/PUEBLA,07:36:24,OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS,"19.03529331471927, -98.21254055965032","REPORTAN ALARMA ACTIVADA EN SERVICIOS POBLANOS Y, RECURSOS, UNIDAD VP-528 ABORDO LOS ELEMENTOS POL. MAXIL, DIEGO RICARDO //GONZÁLEZ VEGA UBALDO, INFORMA PUERTAS Y CHAPAS SIN ALTERACION, LA, UNIDAD TOMA GRAFICA Y CONTINUA SU RECORRIDO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665217"" target=""_blank"">44665217</a>",19/04/2021,; ESTEBAN DE ANTUÑANO NUM 2702 ESQ 27 PTE,REFORMA SUR/PUEBLA/PUEBLA,07:53:57,OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS,"19.051149440638063, -98.23811095965013","ADT ALARMAS, ACTIVACION DE ALARMA EN NEGOCIO SILENCIOSA DE, PANICO, TEL OF, OK, UNIDAD VP-523 ABORDO LOS ELEMENTOS POL.-//GUZMÁN, VALENCIA FULGENCIO ARTEMIO// PADILLA SÁNCHEZ, AIDEE VANESSA AL LUGAR, EN EL LUGAR SE ENTREVISTA CON EL ENCARGADO DE, SEGURIDAD DANIEL HERNANDEZ CON TEL. 2228783731, QUIEN MENCIONA QUE SE ACTIVO SU ALARMA POR, APERTURA , SE ENCUENTRA SIN NOVEDAD."
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665253"" target=""_blank"">44665253</a>",19/04/2021,";19.091932483707193, -98.20169538051331",SAN PABLO XOCHIMEHUACAN/PUEBLA/PUEBLA,08:06:32,SOLICITUD DE OTROS SERVICIOS PUBLICOS,"19.091932483707193, -98.20169538051331","BUEN DIA SOLICITANDO SU APOYO POR FAVOR PARA DAR, PASO SEGURO  AL AVCPB 18-4718 POR EL PUNTO SAN, PABLO XOCHIMEHUACAN PK SA-042, PARA EVITAR QUE LO, VANDALICEN, SE ANEXAN COORDENADAS 19°05'30.3""N, 98°12'06.2""W,   SE REQUIERE EN EL PUNTO EN 15 MIN, HTTPS://WWW.GOOGLE.COM.MX/MAPS/PLACE/19%C2%B005'3, 0.3%22N+98%C2%B012'06.2%22W/@19.09175,-98.2039109, ,17Z/DATA=!3M1!4B1!4M5!3M4!1S0X0:0X0!8M2!3D19.091, 75!4D-98.2017222,  SIN NOVEDAD HASTA EL MOMENTO."
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665257"" target=""_blank"">44665257</a>",19/04/2021,; 53 NTE 1213 // 12 Y 14 PTE,AQUILES SERDAN/PUEBLA/PUEBLA,08:07:49,VIOLENCIA CONTRA LA MUJER,"19.070515947374275, -98.23008757314072","[CELL], REFIERE EL PAPA DE SU HIJOS LES QUIERE PEGAR, SU HIJO ESTA DISCAPACITADO, A PARECER ESTA EN ESTADO DE EBRIEDAD, AL FONDO SE ESCUCHAN LOS LLANTES DE UNA NIÑA Y, DEL MENOR DISCAPACITADO, TEL/CEL, OK, RECHAZA TRANSFERENCIA A TELMUJER YA QUE REFIERE, YA TIENE UNA DENUNCIA EN LA FISCALÍA, ESPECIALIZADA EN VIOLENCIA FAMILIAR, 2DA LLAMADA 222 193-0351 ALFREDO REPORTA QUE SU, ESPOSA ESTA MUY AGRESIVA REQUIERE EL APOYO DE LA, UNIDAD DE POLICIA PARA QUE LA RETIREN DEL LUGAR, //, ENTERADA TELMUJER, UNIDAD 404 AL LUGAR, UNIDAD  VP-404   JUAN CARLOS ISLAS VERGARA Y, ZAMORA CRUZ ERIKA, PARA CONOCIMIENTO DEL MANDO NOS ACERCOS AL ALERTA, MIENTO CON NÚMERO DE RADIO 288 NOS ENTREVISTAMOS, CON MARIA LETICIA VALERO CORONA CON NUMERAL, 2223070766 DE EDAD 41 AÑOS CON DOMICILIO  53, NORTE 1213  COL .AQUILES SERDÁN Y CON SU PAREJA, DE NOMBRE ARTURO RÍOS MONTERO CON NUMERAL, 22210930351DANDO PROCEDIMIENTOS A SEGUIR QUEDANDO, EL PUNTO EN 45, UNIDA CONTINUA SU RECORRIDO, //, TELMUJER CIERRA FOLIO CON INFORMACIÓN DE POLICÍA"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665276"" target=""_blank"">44665276</a>",19/04/2021,;RIO CAZONES ENTRE TAXCO Y CUAUTLA,PLAYAS DEL SUR/PUEBLA/PUEBLA,08:11:33,PERSONA SOSPECHOSA,"18.95170876863935, -98.24627158848774","PLAYAS DEL SUR,Puebla,Puebla,Puebla,MX, REPORTA UNA CAMIONETA ASALTANDO A LOS TRANSEUNTES, COLOR VERDE MILITAR , CERRADA, REPORTA VECINA DEL LUGAR, MENCIONA QUE ESPERA UNIDAD PARA ENTREVISTARSE, SIN MAS DATOS PROPORCIONADOS, INDICA CABINA ZONA 8 : REPORTA AL LUGAR UNIDAD, SSC-800 ABORDO POL.  DE JESÚS CABRERA GERMAN,, POL: MIRÓN AGUILAR LIZETH Y POL: LOPEZ HUIZAR, BRIAN GONZALO, UNIDAD AL LUGAR, INDICA VECIONS CURIOSOS SOBRE, UNA CAMIONETA VERDE MILITAR CERRADA, SE BRINDAN, RECOMENDACIONES, LA UNIDAD CONTINUA, PEP SE CIERRA FOLIO CON DATOS DE POLICIA MUNICPAL"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665354"" target=""_blank"">44665354</a>",19/04/2021,; PRIV REPUBLICA MEXICANA NUM 2 ESQ ALEMANIA,VILLA OLIMPICA/PUEBLA/PUEBLA,08:24:10,PERSONA AGRESIVA,"19.079296734473076, -98.25583823081342","REPORTA QUE UNO DE SUS HIJOS UN MASC DE 18 AÑOS, ESTA AGRESIVO CON ELLA NO SE QUIERE IR A TRABAJAR, Y NO SE QUIERE IR DE LA CASA PIDE UNA PATRULLA EN, EL LUGAR PARA QUE LO SAQUEN, TEL CEL, OK, UNIDAD 003 AL LUGAR, UNIDAD JA-003   GUTIÉRREZ MORGADO ENRIQUE  Y, JUAREZ PAISANO HERMINIA, LA UNIDAD EN EL AREA Y NADIE INFORMA NADA ASI, MISMO NEGATIVO DE PETICIONARIO, UNIDAD JA-003, CONTINUA CON SU RECORRIDO, ATENDIO POLICIA MUNICIPAL"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665369"" target=""_blank"">44665369</a>",19/04/2021,; CALLE BENITO JUAREZ NUM 12 ENTRE AV CIRCUNVALACION,MALINTZIN/PUEBLA/PUEBLA,08:26:37,OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS,"19.08066643876993, -98.17173974979744","ALARMA SONORA, GRUPO AZULEJERO DE MAYORISTAS, CETRAL DE ALARMAS DE MEXICO, TEL COM OK, V, UNIDAD VP-207 ABORDO LOS  ELEMENTOS:  POL. SIMON, GONZALES HERNANDEZ Y POL. ESTEVES ESTEVES LUISA, GLORIA, UNIDAD VP-207 INFORMA EL LUGAR SIN NOVEDAD,, NEGATIVO DE ALGUNA ALARMA."
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665377"" target=""_blank"">44665377</a>",19/04/2021,;A DIFERENTES PUNTOS DE LA CIUDAD DE PUEBLA,PUEBLA/PUEBLA/PUEBLA,08:29:36,SOLICITUD DE OTROS SERVICIOS PUBLICOS,N/A,"MUNICIPIO SAN MARTIN TEXMELUCAN, ASUNTO: INGRESO DE UNIDAD, UNIDAD: CRP-15184 DE TRÁNSITO MUNICIPAL A CARGO, DE EDI ALONZO CASTILLO SIN ARMAS., ASUNTO: PERSONAL, DOS CIVILES ABORDO, OK"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665397"" target=""_blank"">44665397</a>",19/04/2021,;BOULEVARD LOS PILARES Y ESQUINA CALLE 24 SUR 2239-1,FRACC LOS PILARES/PUEBLA/PUEBLA,08:33:05,BOTON DE PANICO EN NEGOCIO,"19.016242383651484, -98.19264478848694","19.0159752, -98.19277, SE ACTIVA BOTÓN DE PÁNICO EN GRUPO FARMATODO LOS, PILARES, UBICACIÓN REFERIDA, EN PLAZA PILARES, CON SALIDA A LA CALLE, OK, SE INFORMA A ENCARGADO DE ZONA 6 DE LA SSC PUEBLA, POR CANAL DE MANDOS, VP-618  ABORDO POL   HERNANDEZ ALARCON RAYMUNDO, // MACEDA CHANTRES JESUS MANUEL, VP-618  ABORDO POL   HERNANDEZ ALARCON RAYMUNDO, // MACEDA CHANTRES JESUS INDICA LA UNIDAD AL, ARRIBAR AL PUNTO SE ENTREVISTAN CON LA ENCARGADA, CON  MANUEL BELEM SANCHEZ  VAZQUEZ INDICANDO, DESCONOCE POR QUE SE ACTIVO LA ALRMA ESTA SIN, INCIDENTE EL PUNTO SE PIDEN GRAFICAS, PEP CON DATOS DE POLICIA MUNICIPAL SE CIERRA, FOLIO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665529"" target=""_blank"">44665529</a>",19/04/2021,; BLVRD HÉROES DEL 5 DE MAYO 31 ORIENTE,PUEBLA CENTRO/PUEBLA/PUEBLA,08:56:55,SOLICITUD DE OTROS SERVICIOS PUBLICOS,"19.030898675217625, -98.20200469219623","LA UNIDAD P-127 DE TEHUACÁN A CARGO DEL, PATRULLERO JOSÉ MARCELO SÁNCHEZ, PORTANDO UN ARMA, CORTA ACOMPAÑADO DE TRES ELEMENTOS MAS, (DESARMADOS), DE SU ARRIBO AL CIS DE LA CIUDAD DE, PUEBLA PARA UNA COMISIÓN., TRANSFIERE OPER HERIBERTO FLORES, PARA   CONOCIMIENTO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665608"" target=""_blank"">44665608</a>",19/04/2021,;AV LAS TORRES,INFONAVIT AMALUCAN/PUEBLA/PUEBLA,09:11:21,MITIN,"19.05033565951572, -98.14709778848658","VÍA MEDIOS DE COMUNICACIÓN (@LAREDCINCORADIO), REPORTAN NUEVAMENTE SE MANIFIESTAN LOCATARIOS DEL, MERCADO DE AMALUCAN SOBRE AVENIDA LAS TORRES, RUMBO AL ENTRONQUE DE AMALUCAN. #PUEBLA, #LAREDCINCORADIO, EN GRÁFICA SE OBSERVA A UN GRUPO DE PERSONAS CON, PANCARTAS AVANZANDO SOBRE LA VIALIDAD, UNIDAD VP-313 A BORDO CESAREO HERMENEGILDO ÁNGELA, MICHELL Y  JIMENEZ SANTIAGO MANUEL., VIA MEDIOS DE COMUNICACIÓN (@LAREDCINCORADIO), REPORTAN POR INCONFORMIDAD CON LAS OBRAS DE, REMODELACIÓN EN EL MERCADO DE AMALUCAN,, LOCATARIOS CIERRAN EL PASO EN FEDERAL A TEHUACÁN, ALTURA DEL ELEKTRA. #PUEBLA, INDICA LA UNIDAD VP-319 ES AFIRMATIVO DEL MITÍN,, AMBAS VIALIDADES CERRADAS POR EL MISMO TEMA DE, LOS LOCATARIOS, LOS COMPAÑEROS SE ENCUENTRAN, PENDIENTES, PARA NO CAER EN PROVOCACIONES, ESTÁ, EN FORMA PACÍFICA EL TEMA., -, REP-AEI-B-PEG-RCB-JULIO-CESAR-ANOTA, -, INFORMA LA UNIDAD VP-313 QUE LOS MANIFESTANTES NO, TIENEN HORA FIJA PARA MOVILIZACIÓN, ESTÁN, ESPERANDO RESPUESTA DEL AYUNTAMIENTO, EN CASO DE, NO TENER RESPUESTA, SE DIRIGIRÍAN A CASA AGUAYO O, DE LO CONTRARIO RETORNAN AL MERCADO., CIERRE DE LA CIRCULACIÓN DE LA CARRETERA FEDERAL, A TEHUACAN A LA ALTURA DEL ELECKTRA DE LA COLONIA, PLAZAS AMALUCAN EN AMBOS SENTIDOS POR UN GRUPO DE, GENTE AL LLEGAR AL LUGAR NOS PERCATAMOS DE UN, GRUPO DE MANIFESTANTES (APROXIMADAMENTE 30 A 40, PERSONAS), LAS CUALES EXIGEN AL GOBIERNO, MUNICIPAL Y ESTATAL ""QUE NO SE DETENGA LA OBRA DE, REMODELACIÓN DEL MERCADO AMALUCAN POR CUESTIÓN DE, LOS TIEMPOS ELECTORALES, POR LO QUE SOLICITAN QUE, LAS OBRAS SIGAN SIN PARAR Y LOS LOCATARIOS NO SE, VEAN AFECTADOS EN SU ECONOMÍA POR ALARGAR EL, TIEMPO DE REMODELACIÓN HASTA EL MOMENTO NO SE HA, PRESENTADO NINGUNA AUTORIDAD POR PARTE DEL, GOBIERNO MUNICIPAL Y NINGUNA PERSONA DE LOS, MANIFESTANTES  QUISO BRINDAR DATOS DE ENTREVISTA, PARÁ CONOCIMIENTO, VP-319 INDICA QUE NO SE ACERCA DEMASIADO AL GRUPO, DE PERSONAS YA QUE SE PUEDEN TORNAR AGRESIVOS,, CON ESTA HORA YA SE ESTÁN RETIRANDO DEL LUGAR, NO, INDICAN HACIA DONDE SE DIRIJEN, SE ENVÍA, EVIDENCIA., SIN ALTERACION, CON ESTA HORA INFORMA LA UNIDAD EN EL LUGAR YA NO, HAY NADA, LAS VIALIDADES NUNCA CERRARON EN ÉSTE, PUNTO. EL DISPOSITIVO DEL MERCADO SIGUE EN PIE,, SIN NINGUNA NOVEDAD."
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665645"" target=""_blank"">44665645</a>",19/04/2021,;CALLE 53 NTE. 1209,AQUILES SERDAN/PUEBLA/PUEBLA,09:17:52,AMENAZA,"19.070412967470357, -98.2301713884863","****APP SEG INCLUYENTE*****, ZONA :   4 VECTOR:    411 UNIDAD :   VP-404, ELEMENTOS :   ERIKA ZAMORA CRUZ REAL : SI PRUEBA, :      NO REPORTE POLICIAL :  LA PAREJA DE LA, SEÑORA MARÍA LETICIA VARELA  SE PUSO AGRESIVO SE, LE DAN PROCEDIMIENTO A SEGUIR DESCRIPCION DE LOS, HECHOS:      PETICIONARIA COMENTA QUE EL PAPÀ DE, SUS HIJO LA ESTA GOLPEANDO DESPACHADOR :, ALEJANDRO TIEMPO DE ATENCION :MINUTOS, ESTATUS** CERRADO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44665646"" target=""_blank"">44665646</a>",19/04/2021,;CALLE 10 SUR NO. 9106 ENTRE CALLE LA MORA Y 23 OTE,GRANJAS EJIDALES SAN ISIDRO/PUEBLA/PUEBLA,09:18:02,OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS,"18.992981761043666, -98.21554910197808","CENTRAL DE ALARMAS DE MEXICO, ALARMA SONORA DE ROBO SIN CONFIRMAR, ALARMA ACTIVA HACE 3 MIN, SOLICITA UNIDAD DE POLICIA AL LUGAR, SSC 701 ABORDO OMEGA 7 CMTE.- JUAN CARLOS FLORES, VAZQUEZ/ALEJANDRO RAMOS GUZMAN, LA UNIDAD ARRIBA AL PUNTO SE ENTREVISTA CON EL, ENCARGADO DAVID OTERO CON NUMERAL 2228232722, QUIEN REFIERE QUE SE ACTIVO LA ALARMA PORQUE, TECLEO MAL LA CLAVE, EL PUNTO SE ENCUENTRA SIN, ALTERACION, SE MANDA EVIDENCIA GRAFICA Y SE, CONTINUA CON SU RECORRIDO., PEP CON DATOS DE LA POLICIA MUNIICPLA SE CIERRA, FOLIO"
